n;u;laufzeit
0;0;3
10;19;39792
20;88;180674
30;210;427909
40;381;775182
50;601;1222371
60;866;1760910
70;1175;2387572
80;1568;3186540
90;1978;4018496
100;2424;4923511
110;2979;6050791
120;3521;7150443
130;4170;8468340
140;4856;9861956
150;5528;11227172
160;6303;12800423
170;7090;14398196
180;8010;16265208
190;8931;18136016
200;9830;19959992
210;10823;21975803
220;11911;24186129
230;13180;26762098
240;14381;29199926
250;15446;31361328
260;16658;33821932
270;18007;36560789
280;19237;39057446
290;20934;42503250
300;22381;45441412
310;23862;48448675
320;25397;51563406
330;27108;55037812
340;28817;58507997
350;30285;61486495
360;32291;65559832
370;34069;69169924
380;35808;72698755
390;37838;76820996
400;39869;80943094
410;41710;84680751
420;43687;88694508
430;46120;93634676
440;47930;97308673
450;50348;102218228
460;52767;107129164
470;54921;111502029
480;57577;116893994
490;59816;121437987
500;62377;126638015
510;64630;131211403
520;67513;137063488
530;69571;141242548
540;72470;147127945
550;75276;152822908
560;78127;158611494
570;80926;164293465
580;83797;170121900
590;86521;175651113
600;90010;182735529
610;92475;187739379
620;95813;194514829
630;99128;201244483
640;102243;207568319
650;105253;213678640
660;108222;219707457
670;112659;228714040
680;115266;234007204
690;118931;241445612
700;122050;247778036
710;125614;255013098
720;129230;262354310
730;132864;269731635
740;136405;276920434
750;140653;285544179
760;143829;291991135
770;147849;300150802
780;151374;307308542
790;155305;315287803
800;160074;324968569
810;163435;331791623
820;167317;339672429
830;172018;349216576
840;175750;356791583
850;179940;365297893
860;184417;374387239
870;188620;382919776
880;193583;392993936
890;197022;399976284
900;202103;410289679
910;207110;420454073
920;210791;427928249
930;215923;438346169
940;220642;447925192
950;225044;456862592
960;228498;463872650
970;233998;475038260
980;240360;487953892
990;244627;496616146
1000;249366;506235485
